Step,ObjectName,Description,Action,Input,Condition,Reference
1,Browser,Open the Url [<Data>] in the Browser,Open,@https://shop.polymer-project.org/,,
2,SHOP,"Click the [<Object>] ",Click,,,Home
3,SHOP,"Click the [<Object>] ",Click,,,Men_s
4,SHOP,"Click the [<Object>] ",Click,,,Home
5,SHOP,"Click the [<Object>] ",Click,,,Ladies
